מספר חשבונית,קישור לספק,תאריך חשבונית,שם ספק,סכום כולל מע''מ,סכום לפני מע''מ,סכום מע''מ,קטגוריה,פירוט שורות,החזר חלקי,שם השולח,סטטוס טיפול,סוג חשבונית,קישור לחשבונית,קישור לקובץ בדרייב,קישור לתיקית החודש,קישור למייל המקורי,כתובת מייל שולח,תאריך ושעת קבלת המייל,מזהה מייל,כפילות,שגיאה,תאריך העלאה למערכת,איכות פענוח,הועבר לרוח,ai_missing_fields,execution_log_url,ai_confidence,error_reason,html_content,קישור להרצה
T613000130300044989,ליבנה צפוני בע״מ,2024-04-26,ליבנה צפוני בע״מ,540.00,457.63,82.4,שונות,קאלקס יחידת מדפים 42 x1,,הדסה אבלס,,,,https://drive.google.com/drive/folders/101cQG9KbXBjwuI-h_JRe7RudCHVsDXpg,https://drive.google.com/drive/folders/1TTyV2IWjfSbR6Bkhzpo4kgWDqPm1_T_p,https://mail.google.com/mail/u/0/#inbox/19dcd2f3a834cad6,h8420785@gmail.com,2026-04-27T04:25:17.000Z,19dcd2f3a834cad6,,,27/04/2026,high,checked,,,,,,
1370520319,הוט מובייל בע״מ,2026-01-04,הוט מובייל בע״מ,15.10,12.79,2.3,הוצאות ניהול,חיובים קבועים - 32.28 ש״ח,,HOTmobile,,,,https://drive.google.com/drive/folders/1z_xmPSaY_yR1GXsUuFpPUS_V6EAq-tTW,https://drive.google.com/drive/folders/1ugx6yLq6t7PRFZqtz8JaZrOZiWF734Ca,https://mail.google.com/mail/u/0/#inbox/19bbd47984944331,HOTmobile@printernet.co.il,2026-01-14T16:10:54.000Z,19bbd47984944331,,,21/04/2026,high,checked,,,,,,
4051,RACHELI'S,2026-01-05,RACHELI'S,1585.92,1344.00,241.9,ספקים ביגוד,כותונת WINTER שחור 2014 x8,,רחלי קנטור ,,,,https://drive.google.com/drive/folders/1x-ILsyxjZ2FAn-Ph0HCOlJfWk5eD7gdK,https://drive.google.com/drive/folders/1ugx6yLq6t7PRFZqtz8JaZrOZiWF734Ca,https://mail.google.com/mail/u/0/#inbox/19b8dd997dc63e5e,outgoing@icount.co.il,2026-01-05T11:10:05.000Z,19b8dd997dc63e5e,,,21/04/2026,high,checked,,,,,,
1327,סניורה/ג׳וני עיצובים,2026-01-08,סניורה/ג׳וני עיצובים,3906.00,3310.00,595.8,ספקים כיסויי ראש,מרובעות פרנזים הזמנה x260,,נתנאל נצרתי ,,,,https://drive.google.com/drive/folders/1b2J__FYNQffqdok3F8t1o6ewZ8Fsusy_,https://drive.google.com/drive/folders/1ugx6yLq6t7PRFZqtz8JaZrOZiWF734Ca,https://mail.google.com/mail/u/0/#inbox/19b9c71d0b8d3cc3,outgoing@icount.co.il,2026-01-08T07:11:03.000Z,19b9c71d0b8d3cc3,,,21/04/2026,high,checked,,,,,,
03/000729,ST FASHION,2026-01-11,ST FASHION,89.00,75.42,13.6,ספקים ביגוד,חצאית לייקרה צר עם ביטנה x1,,,,,,https://drive.google.com/drive/folders/1W93H6dzpDpyr0buEwE_0g3RtTrwgxrvT,https://drive.google.com/drive/folders/1ugx6yLq6t7PRFZqtz8JaZrOZiWF734Ca,https://mail.google.com/mail/u/0/#inbox/19bacda31f4261fa,0584483765st@gmail.com,2026-01-11T11:38:58.000Z,19bacda31f4261fa,,,21/04/2026,high,checked,,,,,,
1335,סניורה/ג׳וני עיצובים,2026-01-18,סניורה/ג׳וני עיצובים,6394.00,5418.56,975.4,ספקים ביגוד,מרובעות פרימיום x295,,נתנאל נצרתי ,,,,https://drive.google.com/drive/folders/1tq_4YxZDvT4JyRTQzDii8CJrauzrm2vu,https://drive.google.com/drive/folders/1ugx6yLq6t7PRFZqtz8JaZrOZiWF734Ca,https://mail.google.com/mail/u/0/#inbox/19bd2ca5c65c882a,outgoing@icount.co.il,2026-01-18T20:27:15.000Z,19bd2ca5c65c882a,,,21/04/2026,high,checked,,,,,,
1586,כובעי זיוה,2026-01-20,כובעי זיוה,4200.80,3560.00,640.8,ספקים כיסויי ראש,קשת מעוטר x11,,כובעי זיוה,,,,https://drive.google.com/drive/folders/1WivHo0IyxAbmS2BAuJoq9-lJqfWEuFum,https://drive.google.com/drive/folders/1ugx6yLq6t7PRFZqtz8JaZrOZiWF734Ca,https://mail.google.com/mail/u/0/#inbox/19bdb4bb50f6b9d3,noreply@ezcount.co.il,2026-01-20T12:05:30.000Z,19bdb4bb50f6b9d3,,,21/04/2026,high,checked,,,,,,
36782,פיין קונטנט בע״מ,2026-01-21,פיין קונטנט בע״מ,2000.00,1694.92,305.1,שונות,פסיכוקופירייטינג - מחזור ב' נשים ללא חברותא x1,,"פיין קונטנט בע""מ",,,,https://drive.google.com/drive/folders/1_DmEkUb6bYbXz0w4lubIL3mNjFXVWFT0,https://drive.google.com/drive/folders/1ugx6yLq6t7PRFZqtz8JaZrOZiWF734Ca,https://mail.google.com/mail/u/0/#inbox/19be003dfa149b29,outgoing@out.cardcom.co.il,2026-01-21T10:05:07.000Z,19be003dfa149b29,,,21/04/2026,high,checked,,,,,,
368113,איי פקט בע״מ,2026-01-23,איי פקט בע״מ,193.52,164.00,29.5,הוצאות ניהול,הדסה אבלס - מנוי חודשי ביזיבוקס לעסקים עבור עד 5 חשבונות x1,,"איי פקט בע""מ",,,,https://drive.google.com/drive/folders/12rYm2agWseai6XiUKJldBLJZNO1Qo5Ms,https://drive.google.com/drive/folders/1ugx6yLq6t7PRFZqtz8JaZrOZiWF734Ca,https://mail.google.com/mail/u/0/#inbox/19be9ec42f958e9e,outgoing@out.cardcom.co.il,2026-01-23T08:15:32.000Z,19be9ec42f958e9e,,,21/04/2026,high,checked,,,,,,
101259502,בזק-ג'ן בע״מ,2026-01-25,בזק-ג'ן בע״מ,635.72,538.74,97.0,הוצאות ניהול,תשלום קבוע אספקה 01/12/25-31/12/25,,בזק,,,,https://drive.google.com/drive/folders/1IHwhWHfX7NJ48B-4EgoC00A_jfHBMWIB,https://drive.google.com/drive/folders/1ugx6yLq6t7PRFZqtz8JaZrOZiWF734Ca,https://mail.google.com/mail/u/0/#inbox/19c085ef3e99e2fa,bezeq_mail@bezeq.co.il,2026-01-29T06:09:25.000Z,19c085ef3e99e2fa,,,21/04/2026,high,checked,,,,,,
